model,framing,RMSE,MAE,MAPE,R2,secs
Ridge,log,633.0193170765305,129.85126589702938,5.83563902357325,0.8240097075241654,0.3
MLP,raw,634.6099711809327,148.18275355097987,8.052968463967531,0.8230873031443494,7.9
Ridge,raw,634.8809045963209,148.9753603516708,8.128505615715099,0.82294702492528,0.3
CatBoost,log,636.0331987623056,132.65444019917624,6.062151008488773,0.8222871815669027,7.8
LightGBM,log,644.3800007847594,163.66343808647858,7.249659298102473,0.8175450596768915,14.6
Ridge,per_mile,647.4868769385303,163.10728655164314,7.124940074373384,0.8157939666897214,0.3
XGBoost,log,658.0385309649117,186.4313744845475,8.500153344036834,0.8096959860177074,4.7
MLP,per_mile,658.565288275861,195.74496737454535,8.41921029898698,0.8094171758519653,4.8
CatBoost,raw,659.8803749822868,166.70163677489245,7.774240591418542,0.8081615263537042,8.0
CatBoost,per_mile,661.0630545534186,154.8574471110833,7.141966202501348,0.8076761606501797,7.4
LightGBM,raw,678.7032356348083,204.04104433360013,8.722545213965518,0.7970733217216678,14.6
LightGBM,per_mile,685.3637095814621,185.08704189364576,8.623485947726278,0.7930996021420782,13.8
XGBoost,per_mile,716.7363029494645,211.91360419065634,10.128994503339237,0.7733617081406631,4.4
MLP,log,721.8180604347234,297.20316509279303,12.903907012716035,0.7707512985356101,7.8
XGBoost,raw,725.5808406931686,238.73137643302303,10.45252489753835,0.7669065564658539,4.5
