model,framing,RMSE,MAE,MAPE,R2,secs
CatBoost,log,633.9507181692245,126.94282656227433,5.758465815002758,0.8234466816597074,6.9
Ridge,raw,638.3463812136285,154.6616826932984,8.482846676767682,0.8210373170879661,0.2
Ridge,log,640.367620524035,145.4081408433934,6.427131033996351,0.8199297160213502,0.3
LightGBM,log,640.7105908174105,152.37870578031558,6.921000087348925,0.8196070041309357,14.1
MLP,raw,644.8477768155582,171.47888859526833,8.382134413409887,0.8174001589837444,12.2
Ridge,per_mile,653.8193214372542,173.19232893151846,7.546850055501456,0.8122430712412635,0.2
XGBoost,log,656.4500943001839,169.80374164890273,7.694131238509274,0.8107006020981465,4.1
CatBoost,per_mile,663.5038002733987,152.63656823385543,6.9328273210376565,0.806428534522612,6.5
LightGBM,raw,669.7925617314739,189.379851134039,8.527595644948827,0.8024563803993962,15.5
LightGBM,per_mile,671.3114310863501,167.54830680302203,7.725660493047509,0.8018739689605457,13.4
CatBoost,raw,675.4950037533549,160.550473384073,7.388493263488822,0.7993402088233087,9.4
MLP,per_mile,680.8406060185707,228.21968308226118,9.892574294033425,0.796346238884488,4.9
XGBoost,per_mile,706.1122515504636,179.28372848468283,8.066184114227505,0.7807599319865227,3.8
MLP,log,706.5849665277464,274.98493120484494,12.189479573491441,0.7802536281284135,10.8
XGBoost,raw,714.7409884159564,199.75044248728423,9.233361122313068,0.7747681107203818,4.0
